cve,modAV
CVE-2018-2386,NETWORK
CVE-2018-2387,NETWORK
CVE-2018-2388,NETWORK
CVE-2018-2389,NETWORK
CVE-2018-2390,NETWORK
CVE-2018-2391,NETWORK
CVE-2018-2392,NETWORK
CVE-2018-2393,NETWORK
CVE-2018-2394,NETWORK
CVE-2018-2395,NETWORK
CVE-2018-2396,NETWORK
CVE-2018-2560,LOCAL
CVE-2018-2561,NETWORK
CVE-2018-2562,NETWORK
CVE-2018-2564,NETWORK
CVE-2018-2565,NETWORK
CVE-2018-2566,NETWORK
CVE-2018-2567,NETWORK
CVE-2018-2568,NETWORK
CVE-2018-2569,LOCAL
CVE-2018-2570,NETWORK
CVE-2018-2571,NETWORK
CVE-2018-2573,NETWORK
CVE-2018-2574,NETWORK
CVE-2018-2575,NETWORK
CVE-2018-2576,NETWORK
CVE-2018-2577,LOCAL
CVE-2018-2578,LOCAL
CVE-2018-2579,NETWORK
CVE-2018-2580,LOCAL
CVE-2018-2581,NETWORK
CVE-2018-2582,NETWORK
CVE-2018-2583,NETWORK
CVE-2018-2584,NETWORK
CVE-2018-2585,NETWORK
CVE-2018-2586,NETWORK
CVE-2018-2588,NETWORK
CVE-2018-2589,NETWORK
CVE-2018-2590,NETWORK
CVE-2018-2591,NETWORK
CVE-2018-2592,NETWORK
CVE-2018-2593,NETWORK
CVE-2018-2594,NETWORK
CVE-2018-2595,NETWORK
CVE-2018-2596,NETWORK
CVE-2018-2597,NETWORK
CVE-2018-2599,NETWORK
CVE-2018-2600,NETWORK
CVE-2018-2601,NETWORK
CVE-2018-2602,LOCAL
CVE-2018-2603,NETWORK
CVE-2018-2604,NETWORK
CVE-2018-2605,NETWORK
CVE-2018-2606,LOCAL
CVE-2018-2607,NETWORK
CVE-2018-2608,NETWORK
CVE-2018-2609,NETWORK
CVE-2018-2610,NETWORK
CVE-2018-2611,NETWORK
CVE-2018-2612,NETWORK
CVE-2018-2613,NETWORK
CVE-2018-2614,NETWORK
CVE-2018-2615,NETWORK
CVE-2018-2616,NETWORK
CVE-2018-2617,NETWORK
CVE-2018-2618,NETWORK
CVE-2018-2619,NETWORK
CVE-2018-2620,NETWORK
CVE-2018-2621,NETWORK
CVE-2018-2622,NETWORK
CVE-2018-2623,NETWORK
CVE-2018-2624,NETWORK
CVE-2018-2625,NETWORK
CVE-2018-2626,NETWORK
CVE-2018-2627,LOCAL
CVE-2018-2629,NETWORK
CVE-2018-2630,NETWORK
CVE-2018-2631,NETWORK
CVE-2018-2632,NETWORK
CVE-2018-2633,NETWORK
CVE-2018-2634,NETWORK
CVE-2018-2635,NETWORK
CVE-2018-2636,NETWORK
CVE-2018-2637,NETWORK
CVE-2018-2638,NETWORK
CVE-2018-2639,NETWORK
CVE-2018-2640,NETWORK
CVE-2018-2641,NETWORK
CVE-2018-2642,NETWORK
CVE-2018-2643,NETWORK
CVE-2018-2644,NETWORK
CVE-2018-2645,NETWORK
CVE-2018-2646,NETWORK
CVE-2018-2647,NETWORK
CVE-2018-2648,NETWORK
CVE-2018-2649,NETWORK
CVE-2018-2650,NETWORK
CVE-2018-2651,NETWORK
CVE-2018-2652,NETWORK
CVE-2018-2653,NETWORK
CVE-2018-2654,NETWORK
CVE-2018-2655,NETWORK
CVE-2018-2656,NETWORK
CVE-2018-2657,NETWORK
CVE-2018-2658,NETWORK
CVE-2018-2659,NETWORK
CVE-2018-2660,NETWORK
CVE-2018-2661,NETWORK
CVE-2018-2662,NETWORK
CVE-2018-2663,NETWORK
CVE-2018-2664,NETWORK
CVE-2018-2665,NETWORK
CVE-2018-2666,NETWORK
CVE-2018-2667,NETWORK
CVE-2018-2668,NETWORK
CVE-2018-2669,NETWORK
CVE-2018-2670,NETWORK
CVE-2018-2671,NETWORK
CVE-2018-2672,NETWORK
CVE-2018-2673,NETWORK
CVE-2018-2674,NETWORK
CVE-2018-2675,NETWORK
CVE-2018-2676,LOCAL
CVE-2018-2677,NETWORK
CVE-2018-2678,NETWORK
CVE-2018-2679,NETWORK
CVE-2018-2680,NETWORK
CVE-2018-2681,NETWORK
CVE-2018-2682,NETWORK
CVE-2018-2683,NETWORK
CVE-2018-2684,NETWORK
CVE-2018-2685,LOCAL
CVE-2018-2686,LOCAL
CVE-2018-2687,LOCAL
CVE-2018-2688,LOCAL
